year,state,farm_number,farm_ha,sales
2017,Nevada,40,"39,623","66,803,000"
2017,New Hampshire,80,"4,740","11,274,000"
2017,New Jersey,68,"1,594","26,246,000"
2017,New Mexico,101,"15,808","70,772,000"
2017,New York,"1,313","130,802","298,420,000"
2017,North Carolina,347,"17,304","369,768,000"
2017,North Dakota,117,"45,952","26,598,000"
2017,Ohio,780,"45,312","116,999,000"
2017,Oklahoma,34,"6,503","10,152,000"
2017,Oregon,451,"79,370","454,406,000"
2017,Pennsylvania,"1,039","43,543","741,764,000"
2017,Rhode Island,20,60,"2,179,000"
2017,South Carolina,39,"1,946","21,680,000"
2017,South Dakota,68,"29,617","14,420,000"
2017,Tennessee,38,"2,023","9,031,000"
2017,Texas,233,"99,719","424,303,000"
2017,Utah,48,"38,296","26,903,000"
2017,Vermont,655,"82,187","159,742,000"
2017,Virginia,163,"11,477","62,791,000"
2017,Washington,743,"45,316","885,970,000"
2017,West Virginia,27,"1,236","13,354,000"
2017,Wisconsin,"1,364","101,595","268,921,000"
2017,Wyoming,64,"52,659","15,639,000"
