Commodity Desc,Unit Desc,Domain Desc,Domaincat Desc,Short Desc,Long Desc,Agg Level Desc,State Name,Year,Published Estimate,State Ansi
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2016,"4,871",5
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2019,"21,009",5
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2011,"583,237",6
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2014,"685,848",6
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2015,"790,413",6
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2016,"1,069,950",6
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2019,"965,257",6
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2011,"77,729",8
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2014,"114,750",8
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2015,"151,571",8
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2016,"176,496",8
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2019,"167,500",8
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2011,297,9
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2014,"2,243",9
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2015,"2,536",9
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2016,"1,691",9
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2019,"1,800",9
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2011,317,10
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2014,207,10
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2015,(D),10
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2016,(D),10
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2019,531,10
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2011,"14,565",12
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2014,"19,245",12
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2015,"12,757",12
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2016,"11,679",12
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2019,"17,912",12
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2011,"1,634",13
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2014,"8,232",13
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2015,"3,161",13
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2016,"5,347",13
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2019,"7,120",13
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2011,"2,701",15
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2014,"3,373",15
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2015,"1,646",15
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2016,"7,163",15
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2019,"2,790",15
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2011,"130,476",16
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2014,"125,011",16
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2015,"167,182",16
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2016,"178,567",16
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2019,"180,732",16
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ILLINOIS,2011,"28,763",17
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ILLINOIS,2014,"40,481",17
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ILLINOIS,2015,"36,952",17
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ILLINOIS,2016,"39,153",17
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ILLINOIS,2019,"60,688",17
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,INDIANA,2011,"15,403",18
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,INDIANA,2014,"25,369",18
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,INDIANA,2015,"34,858",18
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,INDIANA,2016,"43,219",18
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,INDIANA,2019,(D),18
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IOWA,2011,"81,634",19
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IOWA,2014,"97,186",19
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IOWA,2015,"93,707",19
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IOWA,2016,"103,136",19
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IOWA,2019,"133,691",19
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KANSAS,2011,"56,399",20
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KANSAS,2014,"42,057",20
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KANSAS,2015,"52,199",20
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KANSAS,2016,"54,208",20
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KANSAS,2019,"85,660",20
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KENTUCKY,2011,"3,508",21
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KENTUCKY,2014,"6,997",21
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KENTUCKY,2015,"7,497",21
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KENTUCKY,2016,"10,255",21
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,KENTUCKY,2019,"19,499",21
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,LOUISIANA,2011,"2,040",22
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,LOUISIANA,2014,"4,004",22
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,LOUISIANA,2015,"2,714",22
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,LOUISIANA,2016,"5,426",22
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,LOUISIANA,2019,"3,342",22
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,MAINE,2011,"25,822",23
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,MAINE,2014,"55,988",23
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,MAINE,2015,"48,502",23
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,MAINE,2016,"55,316",23
AG LAND,ACRES,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - ACRES","AG LAND, ORGANIC - ACRES - ON OPERATIONS WITH ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,MAINE,2019,"55,261",23
