"Program","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","       2008  -  <b>VALUE</b>","       2008  -  <b>CV (%)</b>","       2011  -  <b>VALUE</b>","       2011  -  <b>CV (%)</b>","       2014  -  <b>VALUE</b>","       2014  -  <b>CV (%)</b>","       2019  -  <b>VALUE</b>","       2019  -  <b>CV (%)</b>"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","1,621,684","","","","1,974,469","37.1"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","5,362","","","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","3,499","","","","7,139","2.2"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","","","","","820","83.2","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","","","777","88.5","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA EXEMPT)","","","","","43","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - ACRES","ORGANIC STATUS","ORGANIC STATUS: (TRANSITIONING)","","","","","9,108","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","","","","","42","28.5","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","13,776","","","","14,093","1.3","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","8,516","","","","16,524","1.2"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (1,000 TO 2,499 $)","1,219","","","","749","8.5","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (10,000 TO 19,999 $)","1,305","","","","1,240","3.2","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (100,000 TO 249,999 $)","2,078","","","","2,589","2.4","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (2,500 TO 4,999 $)","1,286","","","","941","8.1","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (20,000 TO 24,999 $)","467","","","","483","9.7","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (25,000 TO 39,999 $)","953","","","","942","9","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (250,000 TO 499,999 $)","1,017","","","","1,381","4.3","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (40,000 TO 49,999 $)","493","","","","592","8.6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (5,000 TO 9,999 $)","1,148","","","","1,049","5.9","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (50,000 TO 99,999 $)","1,524","","","","1,825","5.8","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (500,000 OR MORE $)","1,077","","","","1,671","2.2","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (LESS THAN 1,000 $)","1,209","","","","631","5.6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (1,000 TO 2,499 $)","","","","","","","277","7.3"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (10,000 TO 19,999 $)","","","","","","","1,316","3"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (100,000 TO 199,999 $)","","","1,453","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (100,000 TO 249,999 $)","","","","","","","3,640","1.5"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (2,500 TO 4,999 $)","","","","","","","458","11.9"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (20,000 TO 24,999 $)","","","","","","","643","5.9"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (200,000 TO 499,999 $)","","","1,325","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (25,000 TO 39,999 $)","","","","","","","1,330","3.9"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (250,000 TO 499,999 $)","","","","","","","1,937","3.8"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (40,000 TO 49,999 $)","","","","","","","732","5.1"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (5,000 TO 9,999 $)","","","","","","","855","4.5"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (50,000 TO 99,999 $)","","","1,187","","","","2,340","3.6"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (500,000 OR MORE $)","","","1,067","","","","2,824","3.5"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (LESS THAN 1,000 $)","","","","","","","172","12.7"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (LESS THAN 50,000 $)","","","3,484","","","","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (100 PCT)","8,694","","","","8,355","1.7","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (25 TO 49 PCT)","729","","","","749","6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (50 TO 74 PCT)","932","","","","1,118","5.6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (75 TO 99 PCT)","1,723","","","","2,708","2.7","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (LESS THAN 25 PCT)","2,462","","","","1,163","8.8","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (100 PCT)","6,158","","","","7,267","2.3","9,294","1.7"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (25 TO 49 PCT)","606","","","","693","6.2","926","6.1"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (50 TO 74 PCT)","771","","","","1,044","6.4","2,075","2.8"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (75 TO 99 PCT)","1,537","","","","2,563","3.2","2,830","3.3"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (LESS THAN 25 PCT)","1,831","","","","1,067","10","1,460","4.2"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (100 PCT)","2,536","","","","1,088","5.6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (25 TO 49 PCT)","123","","","","56","17","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (50 TO 74 PCT)","161","","","","74","23.2","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (75 TO 99 PCT)","186","","","","145","19.1","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (LESS THAN 25 PCT)","631","","","","96","17.8","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","3,164,994,693","","","","5,456,732,000","8.6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","3,531,806,410","","5,451,377,000","8.6","9,925,911,000","6.3"
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (1,000 TO 2,499 $)","2,045,003","","","","1,266,000","8.9","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (10,000 TO 19,999 $)","18,725,426","","","","18,015,000","3.9","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (100,000 TO 249,999 $)","336,631,165","","","","419,801,000","2.6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (2,500 TO 4,999 $)","4,737,601","","","","3,487,000","7.3","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (20,000 TO 24,999 $)","10,326,317","","","","10,715,000","9.6","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (25,000 TO 39,999 $)","30,346,750","","","","30,387,000","8.4","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (250,000 TO 499,999 $)","355,136,443","","","","479,463,000","4.4","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (40,000 TO 49,999 $)","22,029,964","","","","26,325,000","8.7","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (5,000 TO 9,999 $)","8,234,025","","","","7,553,000","5.8","",""
"CENSUS","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (50,000 TO 99,999 $)","111,155,067","","","","130,453,000","6","",""
