year,state,farm_number,farm_ha,sales
2012,North Dakota,94,"54,507","27,279"
2012,Ohio,531,"30,118","88,846"
2012,Oklahoma,45,"4,449",NA
2012,Oregon,525,"82,658","237,121"
2012,Pennsylvania,670,"39,521","313,456"
2012,Rhode Island,24,32,902
2012,South Carolina,47,"1,089",NA
2012,South Dakota,80,"31,726","16,000"
2012,Tennessee,54,"1,485","4,023"
2012,Texas,230,"51,271","199,094"
2012,Utah,59,"48,760","18,458"
2012,Vermont,540,"46,539","93,889"
2012,Virginia,167,"11,503","41,302"
2012,Washington,715,"29,895","514,897"
2012,West Virginia,24,858,NA
2012,Wisconsin,"1,228","92,553","200,800"
2012,Wyoming,49,"52,025","16,713"
2017,Alabama,11,879,NA
2017,Alaska,7,NA,NA
2017,Arizona,62,"10,809","202,506"
2017,Arkansas,67,"8,506","55,331"
2017,California,"3,002","390,792","3,596,923"
2017,Colorado,238,"67,814","184,119"
2017,Connecticut,63,729,"6,152"
2017,Delaware,12,215,"13,564"
2017,Florida,126,"7,252","86,458"
2017,Georgia,102,"2,883","52,212"
2017,Hawaii,129,"1,130","17,283"
2017,Idaho,240,"73,171","205,968"
2017,Illinois,258,"24,570","72,702"
2017,Indiana,594,NA,"180,951"
2017,Iowa,777,"54,126","144,596"
2017,Kansas,110,"34,680","69,048"
2017,Kentucky,185,"7,894","38,459"
2017,Louisiana,10,"1,353","14,333"
2017,Maine,454,"22,373","63,820"
2017,Maryland,121,"6,962","50,080"
2017,Massachusetts,133,"3,308","32,895"
2017,Michigan,541,"49,495","230,955"
2017,Minnesota,633,"70,028","113,606"
2017,Mississippi,29,"3,598","29,527"
2017,Missouri,"355
","20,717","113,880"
2017,Montana,"207
","144,017","65,467"
2017,Nebraska,"236
","93,860","184,634"
2017,Nevada,"40
","39,623","66,803"
2017,New Hampshire,80,"4,740","11,274"
2017,New Jersey,68,"1,594","26,246"
2017,New Mexico,101,"15,808","70,772"
2017,New York,"1,313","130,802","298,420"
2017,North Carolina,347,"17,304","369,768"
2017,North Dakota,117,"45,952","26,598"
2017,Ohio,780,"45,312","116,999"
2017,Oklahoma,34,"6,503","10,152"
2017,Oregon,451,"79,370","454,406"
2017,Pennsylvania,"1,039","43,543","741,764"
2017,Rhode Island,20,60,"2,179"
2017,South Carolina,39,"1,946","21,680"
2017,South Dakota,68,"29,617","14,420"
2017,Tennessee,38,"2,023","9,031"
2017,Texas,233,"99,719","424,303"
2017,Utah,48,"38,296","26,903"
2017,Vermont,655,"82,187","159,742"
2017,Virginia,163,"11,477","62,791"
2017,Washington,743,"45,316","885,970"
2017,West Virginia,27,"1,236","13,354"
2017,Wisconsin,"1,364","101,595","268,921"
2017,Wyoming,64,"52,659","15,639"
